name,type,variable_description,variable,value,annotation,year,date,geography_id,change_rate
"Kingman city, Arizona",place,Median Household Income,B19013_001E,47045.0,,2011,2011-12-31,1600000US0437620,
"Kino Springs CDP, Arizona",place,Median Household Income,B19013_001E,42841.0,,2011,2011-12-31,1600000US0437935,
"Klagetoh CDP, Arizona",place,Median Household Income,B19013_001E,29750.0,,2011,2011-12-31,1600000US0438250,
"Kohatk CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0438530,
"Kohls Ranch CDP, Arizona",place,Median Household Income,B19013_001E,48854.0,,2011,2011-12-31,1600000US0438600,
"Komatke CDP, Arizona",place,Median Household Income,B19013_001E,9511.0,,2011,2011-12-31,1600000US0438655,
"Ko Vaya CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0438950,
"Kykotsmovi Village CDP, Arizona",place,Median Household Income,B19013_001E,31382.0,,2011,2011-12-31,1600000US0439100,
"Lake Havasu City city, Arizona",place,Median Household Income,B19013_001E,44069.0,,2011,2011-12-31,1600000US0439370,
"Lake Montezuma CDP, Arizona",place,Median Household Income,B19013_001E,40037.0,,2011,2011-12-31,1600000US0439720,
"Lake of the Woods CDP, Arizona",place,Median Household Income,B19013_001E,40574.0,,2011,2011-12-31,1600000US0439790,
"La Paz Valley CDP, Arizona",place,Median Household Income,B19013_001E,59615.0,,2011,2011-12-31,1600000US0440160,
"Lazy Y U CDP, Arizona",place,Median Household Income,B19013_001E,85577.0,,2011,2011-12-31,1600000US0440400,
"LeChee CDP, Arizona",place,Median Household Income,B19013_001E,68036.0,,2011,2011-12-31,1600000US0440415,
"Leupp CDP, Arizona",place,Median Household Income,B19013_001E,28068.0,,2011,2011-12-31,1600000US0440630,
"Linden CDP, Arizona",place,Median Household Income,B19013_001E,48839.0,,2011,2011-12-31,1600000US0441085,
"Litchfield Park city, Arizona",place,Median Household Income,B19013_001E,76971.0,,2011,2011-12-31,1600000US0441330,
"Littlefield CDP, Arizona",place,Median Household Income,B19013_001E,40833.0,,2011,2011-12-31,1600000US0441470,
"Littletown CDP, Arizona",place,Median Household Income,B19013_001E,33563.0,,2011,2011-12-31,1600000US0441540,
"Lower Santan Village CDP, Arizona",place,Median Household Income,B19013_001E,45583.0,,2011,2011-12-31,1600000US0442460,
"Low Mountain CDP, Arizona",place,Median Household Income,B19013_001E,23068.0,,2011,2011-12-31,1600000US0442590,
"Lukachukai CDP, Arizona",place,Median Household Income,B19013_001E,21250.0,,2011,2011-12-31,1600000US0442660,
"Lupton CDP, Arizona",place,Median Household Income,B19013_001E,54167.0,,2011,2011-12-31,1600000US0442940,
"McConnico CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0443150,
"McNary CDP, Arizona",place,Median Household Income,B19013_001E,24500.0,,2011,2011-12-31,1600000US0443430,
"McNeal CDP, Arizona",place,Median Household Income,B19013_001E,37813.0,,2011,2011-12-31,1600000US0443570,
